City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Kahului,20.8947,-156.47,76.26,82,40,13.8,US,1645157990
Hobart,-42.8794,147.3294,68.02,43,40,23.02,AU,1645158018
Byron Bay,-28.65,153.6167,91.71,62,1,10.36,AU,1645158042
Meru,0.0463,37.6559,60.31,73,30,3.56,KE,1645158270
Vao,-22.6667,167.4833,79.61,82,98,12.26,NC,1645158270
Mataura,-46.1927,168.8643,71.47,32,100,6.31,NZ,1645158271
Bengkulu,-3.8004,102.2655,81.97,68,100,0.67,ID,1645158271
Kaitong,44.8135,123.15,15.96,83,97,10.27,CN,1645158272
Lavrentiya,65.5833,-171.0,-6.12,92,100,13.91,RU,1645158272
Villa Carlos Paz,-31.4241,-64.4978,68.4,42,2,7.0,AR,1645158273
Sena Madureira,-9.0656,-68.6569,71.76,99,100,2.39,BR,1645158273
Chirongui,-12.9319,45.1483,82.33,74,97,4.25,YT,1645158274
Tuktoyaktuk,69.4541,-133.0374,-7.6,77,75,16.11,CA,1645158274
Mana,5.6592,-53.7767,75.51,89,55,7.65,GF,1645158275
Kieta,-6.2167,155.6333,85.26,69,19,6.49,PG,1645158276
Butaritari,3.0707,172.7902,81.81,73,24,21.92,KI,1645157683
Albert Lea,43.648,-93.3683,4.91,85,75,0.0,US,1645158276
Ca Mau,9.1769,105.15,92.46,44,36,10.71,VN,1645158277
Lobva,59.1854,60.5185,19.26,87,45,9.48,RU,1645158278
Thompson,55.7435,-97.8558,-20.04,76,20,0.0,CA,1645158279
Khatanga,71.9667,102.5,-31.56,98,30,3.09,RU,1645158255
Qaqortoq,60.7167,-46.0333,7.3,69,100,9.71,GL,1645158279
Tasiilaq,65.6145,-37.6368,23.16,92,100,18.28,GL,1645158280
Luanda,-8.8368,13.2343,77.0,83,75,3.44,AO,1645158148
Samaná,19.2056,-69.3369,73.24,85,10,7.99,DO,1645158280
Busselton,-33.65,115.3333,96.04,33,7,6.35,AU,1645158209
Kapaa,22.0752,-159.319,78.78,77,0,14.97,US,1645158281
Airai,-8.9266,125.4092,70.9,73,65,1.36,TL,1645158282
Dakoro,14.5106,6.765,69.06,11,23,13.02,NE,1645158282
Nikolskoye,59.7035,30.7861,33.69,92,100,15.08,RU,1645158283
Wagar,16.1525,36.2032,67.68,62,1,7.14,SD,1645158283
Arlit,18.7369,7.3853,67.41,17,8,8.61,NE,1645158284
Esperance,-33.8667,121.9,80.44,46,0,13.58,AU,1645158284
Qaanaaq,77.484,-69.3632,-7.53,69,100,7.31,GL,1645158285
Katsuura,35.1333,140.3,50.14,37,0,17.94,JP,1645158060
Dikson,73.5069,80.5464,-15.02,92,69,8.81,RU,1645158286
São Filipe,14.8961,-24.4956,73.35,67,100,6.24,CV,1645158287
Dawson Creek,55.7666,-120.2362,11.84,67,100,14.97,CA,1645158287
Te Anau,-45.4167,167.7167,67.5,53,100,11.63,NZ,1645158287
Chokurdakh,70.6333,147.9167,-28.61,100,15,1.45,RU,1645158255
Puerto Escondido,15.85,-97.0667,81.43,69,75,0.0,MX,1645158288
Constitución,-35.3333,-72.4167,57.2,73,0,12.75,CL,1645158289
Oranjemund,-28.55,16.4333,64.9,82,27,6.6,NA,1645158289
Namtsy,62.7161,129.6658,-21.89,89,67,2.57,RU,1645158290
Cayenne,4.9333,-52.3333,79.09,84,100,5.99,GF,1645158038
Bethel,41.3712,-73.414,56.71,91,100,18.41,US,1645158290
Rehoboth,-23.3167,17.0833,71.4,51,70,10.42,NA,1645158291
New Norfolk,-42.7826,147.0587,68.67,36,31,7.0,AU,1645158292
Lagoa,39.05,-27.9833,49.93,63,100,22.91,PT,1645158157
Teya,60.3778,92.6267,7.9,89,100,6.11,RU,1645158293
Puerto Ayora,-0.7393,-90.3518,75.09,89,99,6.33,EC,1645158293
East London,-33.0153,27.9116,63.54,100,75,2.3,ZA,1645158263
Ñuñoa,-14.48,-70.6411,38.28,87,100,6.06,PE,1645158294
Valdivia,-39.8142,-73.2459,44.69,86,0,2.24,CL,1645158295
Mount Gambier,-37.8333,140.7667,69.71,43,100,18.41,AU,1645158295
Tiksi,71.6872,128.8694,-25.67,98,77,3.49,RU,1645158235
Tessalit,20.1986,1.0114,66.2,19,100,5.03,ML,1645158031
Kavaratti,10.5669,72.642,80.67,66,0,10.49,IN,1645158296
Iqaluit,63.7506,-68.5145,-27.31,67,0,11.5,CA,1645158297
Quang Ngai,15.1167,108.8,83.19,73,17,6.31,VN,1645158298
Acajutla,13.5928,-89.8275,81.81,65,25,8.28,SV,1645158298
Youghal,51.95,-7.8506,46.09,96,89,31.7,IE,1645158298
Tempio Pausania,40.8974,9.1035,36.63,94,34,11.72,IT,1645158299
Nakasongola,1.3089,32.4564,65.95,86,68,3.44,UG,1645158300
Montrose,38.4166,-108.2673,17.94,65,0,1.95,US,1645157912
Port Alfred,-33.5906,26.891,66.74,73,31,9.04,ZA,1645158300
Erzin,36.9559,36.2,34.52,68,93,4.68,TR,1645158052
Tual,-5.6667,132.75,83.07,73,95,6.44,ID,1645158301
Vaini,-21.2,-175.2,81.99,73,45,10.11,TO,1645158301
Egvekinot,66.3167,-179.1667,-9.74,87,6,16.31,RU,1645158302
Beringovskiy,63.05,179.3167,-6.77,95,100,18.23,RU,1645158302
Yulara,-25.2406,130.9889,87.64,25,0,9.22,AU,1645158303
Portland,45.5234,-122.6762,49.03,85,100,6.91,US,1645157454
Isiro,2.7739,27.616,69.15,49,94,1.34,CD,1645158303
Huancabamba,-5.2386,-79.4506,59.27,98,98,0.56,PE,1645158304
Bubaque,11.2833,-15.8333,77.23,71,2,6.8,GW,1645158305
Avarua,-21.2078,-159.775,77.05,94,75,4.61,CK,1645158305
Kangaba,11.9333,-8.4167,72.05,18,2,4.92,ML,1645158305
Ribeira Grande,38.5167,-28.7,51.17,64,98,24.63,PT,1645158306
Puerto Baquerizo Moreno,-0.9,-89.6,76.1,86,93,9.46,EC,1645158307
Umm Kaddadah,13.6017,26.6876,62.22,15,5,9.86,SD,1645158307
Lorengau,-2.0226,147.2712,83.48,75,100,4.88,PG,1645158308
Severnyy,50.677,36.5532,35.64,100,75,6.71,RU,1645158068
Yenagoa,4.9247,6.2642,77.83,90,88,4.0,NG,1645158309
Zaykovo,57.5613,62.7568,14.4,87,34,7.7,RU,1645158074
Bato,13.3528,123.3677,86.92,57,86,1.9,PH,1645158309
Bathsheba,13.2167,-59.5167,75.81,83,40,14.97,BB,1645158310
George Town,5.4112,100.3354,89.89,68,20,9.22,MY,1645158310
Esna,25.2934,32.554,55.24,46,80,6.08,EG,1645158311
Tecpan,14.7623,-90.9947,54.72,81,0,2.86,GT,1645158311
Shache,38.4167,77.2406,32.88,41,100,6.33,CN,1645158258
Makakilo City,21.3469,-158.0858,77.32,64,75,10.36,US,1645158312
Upernavik,72.7868,-56.1549,-27.29,98,97,5.75,GL,1645158312
Yate,51.5407,-2.4184,54.14,94,100,4.0,GB,1645158313
Bogo,11.0517,124.0055,83.52,68,100,8.3,PH,1645158313
Okhotsk,59.3833,143.3,7.74,74,79,10.18,RU,1645158314
Barrow,71.2906,-156.7887,-14.78,76,100,0.0,US,1645158314
Sinnamary,5.3833,-52.95,77.18,85,100,10.94,GF,1645158147
Laas,46.6166,10.7002,44.06,59,21,5.79,IT,1645158315
Tezu,27.9167,96.1667,74.03,22,3,4.23,IN,1645158315
Santa Isabel Rio Negro,-0.4139,-65.0192,73.22,99,100,1.12,BR,1645158316
Virginia Beach,36.8529,-75.978,66.42,74,100,19.57,US,1645157898
Belgrade,44.804,20.4651,46.06,57,0,11.5,RS,1645158263
Borgo San Dalmazzo,44.333,7.4858,50.59,40,0,6.02,IT,1645158317
Bambous Virieux,-20.3428,57.7575,81.21,78,75,17.27,MU,1645158318
Hong Kong,22.2855,114.1577,65.03,85,100,23.0,HK,1645158072
Port Lincoln,-34.7333,135.8667,68.31,59,43,14.79,AU,1645158238
Perry,37.2506,-83.1999,62.78,91,100,20.13,US,1645158319
Ancud,-41.8697,-73.8203,49.53,81,0,3.58,CL,1645158320
Rock Sound,24.9,-76.2,75.27,86,1,18.37,BS,1645158046
Bongandanga,1.5,21.05,69.89,73,4,2.51,CD,1645158320
Neiafu,-18.65,-173.9833,82.4,72,22,7.49,TO,1645158321
St. George's,12.0564,-61.7485,75.9,80,12,13.22,GD,1645158322
Cap Malheureux,-19.9842,57.6142,81.46,73,100,10.0,MU,1645158323
Silver City,32.7701,-108.2803,33.67,55,0,10.36,US,1645158170
Yellowknife,62.456,-114.3525,-13.59,82,20,14.97,CA,1645158133
Carutapera,-1.195,-46.02,75.76,88,99,4.5,BR,1645158324
Chui,-33.6971,-53.4616,68.79,82,49,9.4,UY,1645158325
Port Hedland,-20.3167,118.5667,104.05,31,13,12.66,AU,1645158061
Hilo,19.7297,-155.09,73.13,93,40,3.44,US,1645158325
Pevek,69.7008,170.3133,-29.04,98,100,3.29,RU,1645158142
Alofi,-19.0595,-169.9187,84.09,70,14,10.36,NU,1645158326
Jatai,-17.8814,-51.7144,67.35,95,17,4.23,BR,1645158327
Waverly,42.7392,-84.6208,20.48,89,100,14.97,US,1645158327
Lata,40.1629,-8.3327,56.8,98,34,0.25,PT,1645158328
Saquarema,-22.92,-42.5103,72.52,95,99,5.88,BR,1645158328
Novy Urengoy,66.0833,76.6333,8.76,97,100,8.14,RU,1645158255
Ola,59.5833,151.2833,3.69,73,82,12.66,RU,1645158329
Kinston,35.2627,-77.5816,68.61,94,100,17.27,US,1645158325
Carnarvon,-24.8667,113.6333,93.27,49,100,9.22,AU,1645158330
Mt. Pleasant,32.7941,-79.8626,72.1,94,0,19.57,US,1645158058
Port-Gentil,-0.7193,8.7815,81.09,74,95,8.52,GA,1645158331
Karachi,24.9056,67.0822,69.62,83,0,3.44,PK,1645158331
Saint-Louis,16.3333,-15.0,73.04,15,100,9.04,SN,1645158332
Pisco,-13.7,-76.2167,69.85,78,0,5.75,PE,1645158301
Kruisfontein,-34.0033,24.7314,54.88,88,0,4.47,ZA,1645158332
Tutóia,-2.7619,-42.2744,78.28,80,80,8.57,BR,1645158333
La Primavera,5.4906,-70.4092,79.83,56,77,4.92,CO,1645158333
Sambava,-14.2667,50.1667,77.58,81,48,8.61,MG,1645158334
Ilulissat,69.2167,-51.1,5.02,78,100,2.3,GL,1645158334
Lakes Entrance,-37.8811,147.981,71.17,58,45,19.28,AU,1645158335
Oparino,59.8518,48.2783,31.77,93,100,15.97,RU,1645158335
Arraial do Cabo,-22.9661,-42.0278,74.44,91,78,10.4,BR,1645158336
Cabo San Lucas,22.8909,-109.9124,67.51,67,100,1.54,MX,1645158268
Opuwo,-18.0607,13.84,68.86,83,100,1.66,NA,1645158337
Morón,-34.6534,-58.6198,64.98,71,0,9.44,AR,1645158337
Vanavara,60.34,102.2797,1.31,90,99,5.73,RU,1645158337
Nadym,65.5333,72.5167,25.57,91,100,9.53,RU,1645158254
San Patricio,28.017,-97.5169,53.46,47,3,21.61,US,1645158339
Şırnak,37.5228,42.4594,33.87,69,100,3.49,TR,1645158339
Karratha,-20.7377,116.8463,99.39,31,44,2.44,AU,1645158339
College,64.8569,-147.8028,12.29,76,100,10.36,US,1645158340
Mar del Plata,-38.0023,-57.5575,64.09,75,40,11.99,AR,1645158340
Kabompo,-13.5927,24.2008,63.37,99,100,2.59,ZM,1645158341
Médéa,36.2642,2.7539,30.65,61,4,4.85,DZ,1645158341
San-Pédro,4.7485,-6.6363,76.62,91,82,5.91,CI,1645158342
Cherskiy,68.75,161.3,-31.14,98,55,1.86,RU,1645158343
Kamenka,51.3223,42.7678,32.76,87,98,21.94,RU,1645158343
Maţāy,28.419,30.7792,49.89,78,80,6.69,EG,1645158344
Port Shepstone,-30.7414,30.455,68.61,89,100,2.28,ZA,1645158344
Saint George,37.1041,-113.5841,48.63,29,0,4.61,US,1645158345
Thinadhoo,0.5333,72.9333,82.09,67,100,10.78,MV,1645158345
Vilyuysk,63.7553,121.6247,-10.07,90,88,4.92,RU,1645158346
Kirensk,57.7853,108.1119,3.02,90,100,6.26,RU,1645158346
Berlevåg,70.8578,29.0864,30.2,61,100,30.11,NO,1645158347
Leningradskiy,69.3833,178.4167,-13.59,98,100,9.33,RU,1645158347
Metro,-5.1131,105.3067,77.77,83,100,3.09,ID,1645158348
Mardin,37.3131,40.7436,40.26,61,75,8.05,TR,1645158348
Kapoeta,4.7717,33.5903,80.73,23,88,3.62,SS,1645158349
Roald,62.5833,6.1333,38.16,87,40,11.5,NO,1645158349
Kandrian,-6.2167,149.55,88.23,63,100,10.65,PG,1645158350
Fairbanks,64.8378,-147.7164,12.31,76,100,10.36,US,1645158350
Lixouri,38.2019,20.4314,53.67,79,14,12.5,GR,1645158351
Kholm,59.2667,32.85,32.13,97,100,14.27,RU,1645158351
Buşayrā,30.7376,35.6078,45.72,60,100,1.86,JO,1645158333
Ferrandina,40.5012,16.4547,46.08,60,66,5.1,IT,1645158352
Along,28.1667,94.7667,68.77,38,18,0.78,IN,1645158079
Walvis Bay,-22.9575,14.5053,70.09,88,17,4.61,NA,1645158353
Itarema,-2.9248,-39.9167,77.49,81,83,6.71,BR,1645158353
Tromsø,69.6496,18.957,26.62,59,75,11.5,NO,1645158354
Asău,46.4333,26.4,42.76,69,55,12.86,RO,1645158354
Verkhovyna,48.1557,24.7911,33.98,91,100,6.58,UA,1645158355
Iquique,-20.2208,-70.1431,69.84,76,87,2.68,CL,1645158212
Ayní,39.3941,68.5377,26.65,44,28,6.33,TJ,1645158355
Ilovka,50.7053,38.637,33.94,99,100,19.08,RU,1645158356
Kiryat Gat,31.61,34.7642,51.4,83,63,2.68,IL,1645158356
Naze,28.3667,129.4833,52.72,88,100,21.05,JP,1645158357
Banda Aceh,5.5577,95.3222,85.19,68,38,2.19,ID,1645158357
Hasaki,35.7333,140.8333,54.28,32,11,19.22,JP,1645158358
Basco,20.4487,121.9702,73.85,85,93,10.76,PH,1645158358
Port Hardy,50.6996,-127.4199,44.76,93,100,3.44,CA,1645158328
Salta,-24.7859,-65.4117,63.57,90,75,3.44,AR,1645158359
Flin Flon,54.7682,-101.865,-7.94,96,100,4.54,CA,1645158360
Belogorsk,50.9158,128.4611,5.65,90,98,2.1,RU,1645158360
Praia da Vitória,38.7333,-27.0667,48.76,81,75,23.82,PT,1645158361
Balashov,51.5502,43.1667,33.48,87,100,22.21,RU,1645158362
Muli,2.9167,73.5667,81.14,67,98,6.35,MV,1645158362
Zaozyornoye,45.1582,33.2787,46.94,95,100,17.96,UA,1645158363
Narsaq,60.9167,-46.05,7.02,70,100,9.4,GL,1645158363
Tiznit Province,29.5833,-9.5,57.16,32,100,4.32,MA,1645158364
Codrington,-38.2667,141.9667,65.5,52,75,16.35,AU,1645158364
Sainte-Anne-des-Monts,49.124,-66.4924,21.07,100,100,0.0,CA,1645158365
Poum,-20.2333,164.0167,82.33,77,40,14.29,NC,1645158365
Port Montt,-41.4698,-72.9447,50.83,87,0,2.3,CL,1645158366
Hambantota,6.1241,81.1185,86.34,66,0,10.36,LK,1645158366
Bereda,43.2686,-7.5406,54.0,96,54,8.43,ES,1645158367
Almaznyy,48.0448,40.045,37.54,80,97,17.78,RU,1645158367
Grindavik,63.8424,-22.4338,25.27,80,0,3.44,IS,1645158368
Shancheng,34.7953,116.0817,38.14,54,100,5.19,CN,1645158368
Kidal,18.4411,1.4078,72.48,13,65,6.55,ML,1645158369
Lompoc,34.6391,-120.4579,55.42,76,0,18.99,US,1645158370
Charlestown,-32.95,151.6667,86.83,60,1,8.01,AU,1645158225
Albanel,48.8832,-72.4487,10.54,67,100,11.5,CA,1645158152
Itoman,26.1247,127.6694,62.62,82,75,20.71,JP,1645158371
Lagunas,-5.2269,-75.6753,72.75,96,100,2.57,PE,1645158372
Namatanai,-3.6667,152.4333,84.83,66,96,8.28,PG,1645158372
Albert,50.0009,2.651,49.78,93,100,17.27,FR,1645158372
Olafsvik,64.8945,-23.7142,29.48,70,100,8.97,IS,1645158373
Matagami,49.7502,-77.6328,-9.29,77,75,9.22,CA,1645158373
Gornopravdinsk,60.05,69.9,19.67,93,100,8.01,RU,1645158374
Ust-Kuyga,70.0167,135.6,-28.05,99,98,7.18,RU,1645158374
Humaitá,-7.5061,-63.0208,72.18,98,86,2.17,BR,1645158375
Quime,-16.9833,-67.2167,49.28,94,100,1.03,BO,1645158375
Kirkland Lake,48.1446,-80.0377,2.23,71,100,9.51,CA,1645158112
Vostok,46.4856,135.8833,13.77,77,96,6.29,RU,1645158376
Meulaboh,4.1363,96.1285,85.21,68,25,9.73,ID,1645158377
Wabash,40.7978,-85.8205,25.45,94,100,16.31,US,1645158377
Bilibino,68.0546,166.4372,-11.13,97,15,4.03,RU,1645158331
Fort Nelson,58.8053,-122.7002,-2.61,71,100,6.91,CA,1645158309
Toila,59.4236,27.5025,29.91,88,100,25.81,EE,1645158378
Williston,48.147,-103.618,36.91,87,82,1.01,US,1645157881
Santa Cruz de Barahona,18.2085,-71.1008,74.37,80,30,4.74,DO,1645158379
Hofn,64.2539,-15.2082,30.18,70,98,16.91,IS,1645158379
Saint John,45.2727,-66.0677,46.18,99,100,28.77,CA,1645158077
Tilichiki,60.4667,166.1,-6.25,86,100,9.71,RU,1645158380
Salinópolis,-0.6136,-47.3561,77.97,86,89,7.76,BR,1645158380
Borogontsy,62.6683,131.1683,-12.32,90,85,3.18,RU,1645158381
Issia,6.4922,-6.5856,73.38,91,90,4.0,CI,1645158381
Buraidah,26.326,43.975,54.05,30,30,10.45,SA,1645158177
Hashtrūd,37.4779,47.0508,16.05,95,100,1.19,IR,1645158382
Dingle,10.9995,122.6711,85.44,62,80,14.81,PH,1645158383
Ābādān,30.3392,48.3043,55.35,62,0,2.3,IR,1645158383
Ban Phai,16.06,102.731,86.02,51,16,7.2,TH,1645158384
Aklavik,68.2191,-135.0107,-8.57,85,96,5.23,CA,1645158384
Fortuna,40.5982,-124.1573,47.66,93,75,0.0,US,1645158385
Benghazi,32.1167,20.0667,56.62,69,1,16.2,LY,1645158385
Guerrero Negro,27.9769,-114.0611,62.2,50,0,3.89,MX,1645158386
Saint-Joseph,-21.3667,55.6167,82.76,77,79,14.16,RE,1645158386
Padang,-0.9492,100.3543,87.85,60,69,1.9,ID,1645158386
Gorontalo,0.5412,123.0595,85.96,66,100,3.18,ID,1645158387
Berlin,52.5244,13.4105,41.9,73,0,15.01,DE,1645158387
Emerald,-23.5333,148.1667,98.35,32,7,8.05,AU,1645158386
São Borja,-28.6606,-56.0044,75.94,30,6,6.31,BR,1645158388
Ovalle,-30.5983,-71.2003,69.28,64,0,3.02,CL,1645158388
Flinders,-34.5833,150.8552,85.17,65,0,7.0,AU,1645158389
Qui Nhon,13.7667,109.2333,80.76,75,62,4.23,VN,1645158389
Imphal,24.8167,93.95,67.64,32,0,2.39,IN,1645158390
Vardø,70.3705,31.1107,28.6,62,100,32.28,NO,1645158390
Ushuaia,-54.8,-68.3,49.66,76,40,17.27,AR,1645158408
Kaitangata,-46.2817,169.8464,68.94,62,43,4.41,NZ,1645158246
Saint-Philippe,-21.3585,55.7679,83.75,79,87,13.96,RE,1645158409
Ternate,0.8,127.4,82.76,72,88,4.41,ID,1645158409
Atuona,-9.8,-139.0333,79.0,74,7,18.9,PF,1645158410
Broken Hill,-31.95,141.4333,76.71,29,0,14.97,AU,1645158258
Rikitea,-23.1203,-134.9692,78.4,71,5,7.43,PF,1645158411
Longyearbyen,78.2186,15.6401,10.24,67,0,16.11,SJ,1645158071
Cidreira,-30.1811,-50.2056,72.3,85,25,9.31,BR,1645158411
Riyadh,24.6877,46.7219,53.74,34,13,11.65,SA,1645158249
Cape Town,-33.9258,18.4232,65.26,74,0,9.22,ZA,1645157990
Tarko-Sale,64.9225,77.785,10.92,96,97,9.44,RU,1645158250
Cedar City,37.6775,-113.0619,32.4,58,0,4.61,US,1645158129
Pāthardih,23.6667,86.4333,73.0,27,0,2.89,IN,1645158251
Albany,42.6001,-73.9662,57.61,93,100,1.99,US,1645158413
Havøysund,70.9963,24.6622,29.28,70,100,28.41,NO,1645158251
Cazzago San Martino,45.5938,10.0419,44.01,70,1,4.65,IT,1645158252
Laguna,38.421,-121.4238,57.31,63,0,3.44,US,1645158252
Okha,53.5739,142.9478,18.95,92,100,14.61,RU,1645158253
Saint Paul Harbor,57.79,-152.4072,44.11,76,100,8.05,US,1645158414
Nanortalik,60.1432,-45.2371,16.9,53,100,7.63,GL,1645158153
Tuatapere,-46.1333,167.6833,71.82,47,100,11.54,NZ,1645158152
Los Llanos de Aridane,28.6585,-17.9182,58.75,55,75,5.99,ES,1645158253
Bredasdorp,-34.5322,20.0403,64.27,80,15,11.88,ZA,1645158254
Paranaguá,-25.52,-48.5092,70.77,97,69,1.61,BR,1645158255
Ayacucho,-13.1583,-74.2239,53.56,86,86,1.34,PE,1645158256
Bani Walid,31.7566,13.9942,53.26,83,95,10.71,LY,1645158257
Lebu,-37.6167,-73.65,56.64,81,0,16.55,CL,1645158257
Burnie,-41.0667,145.9167,65.95,38,39,13.35,AU,1645158258
Jamestown,42.097,-79.2353,31.64,59,100,18.41,US,1645158388
Severo-Kuril'sk,50.6789,156.125,30.67,85,100,19.62,RU,1645158057
Burgeo,47.6167,-57.6152,38.84,97,100,29.77,CA,1645158259
Castro,-24.7911,-50.0119,57.33,99,19,6.26,BR,1645158260
Yar-Sale,66.8333,70.8333,1.44,98,82,5.77,RU,1645158260
Norman Wells,65.282,-126.8329,-9.36,64,75,12.66,CA,1645158261
Hithadhoo,-0.6,73.0833,82.54,68,95,14.25,MV,1645158261
Robertsport,6.7533,-11.3686,79.0,82,35,5.7,LR,1645158262
Bluff,-46.6,168.3333,71.8,49,100,14.45,NZ,1645158263
Prome,18.8167,95.2167,87.21,16,29,6.33,MM,1645158263
Hermanus,-34.4187,19.2345,64.8,82,6,14.32,ZA,1645158264
Chumikan,54.7183,135.315,10.85,87,100,10.96,RU,1645158264
Haukipudas,65.1765,25.3523,25.14,93,100,12.82,FI,1645158265
Punta Arenas,-53.15,-70.9167,51.91,82,75,5.75,CL,1645158265
Homer,59.6425,-151.5483,42.8,77,100,11.01,US,1645158266
Mahébourg,-20.4081,57.7,81.25,78,75,17.27,MU,1645158266
Port Elizabeth,-33.918,25.5701,57.09,100,0,3.44,ZA,1645157927
Mabaruma,8.2,-59.7833,69.78,98,38,1.39,GY,1645158267
Kavieng,-2.5744,150.7967,84.4,72,95,8.75,PG,1645158145
Eucaliptus,-17.5833,-67.5167,49.96,71,94,8.05,BO,1645158268
Bahía Blanca,-38.7196,-62.2724,62.89,44,0,10.58,AR,1645158421
Kahului,20.8947,-156.47,76.26,82,40,13.8,US,1645157990
Hobart,-42.8794,147.3294,68.02,43,40,23.02,AU,1645158018
Byron Bay,-28.65,153.6167,91.71,62,1,10.36,AU,1645158042
Meru,0.0463,37.6559,60.31,73,30,3.56,KE,1645158270
Vao,-22.6667,167.4833,79.61,82,98,12.26,NC,1645158270
Mataura,-46.1927,168.8643,71.47,32,100,6.31,NZ,1645158271
Bengkulu,-3.8004,102.2655,81.97,68,100,0.67,ID,1645158271
Kaitong,44.8135,123.15,15.96,83,97,10.27,CN,1645158272
Lavrentiya,65.5833,-171.0,-6.12,92,100,13.91,RU,1645158272
Villa Carlos Paz,-31.4241,-64.4978,68.4,42,2,7.0,AR,1645158273
Sena Madureira,-9.0656,-68.6569,71.76,99,100,2.39,BR,1645158273
Chirongui,-12.9319,45.1483,82.33,74,97,4.25,YT,1645158274
Tuktoyaktuk,69.4541,-133.0374,-7.6,77,75,16.11,CA,1645158274
Mana,5.6592,-53.7767,75.51,89,55,7.65,GF,1645158275
Kieta,-6.2167,155.6333,85.26,69,19,6.49,PG,1645158276
Butaritari,3.0707,172.7902,81.81,73,24,21.92,KI,1645158425
Albert Lea,43.648,-93.3683,4.91,85,75,0.0,US,1645158276
Ca Mau,9.1769,105.15,92.46,44,36,10.71,VN,1645158277
